task_id,init_secs,init_nsecs,fin_secs,fin_nsecs,time_took,moving_avg_time,task_status,moving_avg_status,who_succeeded
439,1538352998,558103885,1538353051,495125519,52.93702173233032,27.473309492467475,1,0.8838268792710706,"""robot"""
440,1538353066,802396817,1538353100,78089966,33.97850298881531,27.488094023140995,1,0.884090909090909,"""robot"""
441,1538353113,188837348,1538353120,78233591,7.593498706817627,27.442981562106247,1,0.8843537414965986,"""human"""
442,1538353136,544279986,1538353189,443764967,52.89948487281799,27.50057546099926,1,0.8846153846153846,"""robot"""
443,1538353205,628646286,1538353258,628543656,52.99989724159241,27.55813600677938,0,0.8826185101580135,''
444,1538353274,516675776,1538353327,293923425,52.77724766731262,27.614935807816618,1,0.8828828828828829,"""robot"""
445,1538353340,141809638,1538353392,910911509,52.76910185813904,27.671462023660037,0,0.8808988764044944,''
446,1538353405,499316325,1538353457,860293468,52.36097717285156,27.726819680945223,0,0.8789237668161435,''
447,1538353474,366498811,1538353482,78242311,8.415924310684204,27.683618572734346,1,0.8791946308724832,"""human"""
448,1538353498,810167569,1538353531,78275430,32.9725866317749,27.69542430500899,1,0.8794642857142857,"""human"""
449,1538353546,711604882,1538353554,78454800,8.072943210601807,27.651721674509197,1,0.8797327394209354,"""human"""
450,1538353570,344478343,1538353577,78264479,7.438166379928589,27.606802662743462,1,0.88,"""human"""
451,1538353593,36335647,1538353600,78242844,7.419072151184082,27.562040510833132,1,0.8802660753880266,"""human"""
452,1538353616,157407252,1538353623,78299097,7.625583648681641,27.517933305385892,1,0.8805309734513275,"""human"""
453,1538353640,252750100,1538353692,910774195,52.658024072647095,27.573430194496844,0,0.8785871964679912,''
454,1538353706,354312250,1538353738,78260081,32.42828869819641,27.584123715430103,1,0.8788546255506607,"""human"""
455,1538353753,943526545,1538353786,78223323,32.838706731796265,27.595672249532008,1,0.8791208791208791,"""human"""
456,1538353802,114825712,1538353854,810927284,52.696101665496826,27.650717050882808,1,0.8793859649122807,"""robot"""
457,1538353867,57616010,1538353910,78120731,43.20504713058472,27.684752784098787,1,0.8796498905908097,"""robot"""
458,1538353930,441520705,1538353937,78319389,7.341673135757446,27.640335579626424,1,0.8799126637554585,"""human"""
459,1538353953,840037271,1538353975,78368247,21.943645238876343,27.62792448955943,1,0.8801742919389978,"""human"""
460,1538353991,33796644,1538354013,78398321,22.446016788482666,27.61665947281796,1,0.8804347826086957,"""human"""
461,1538354029,370948776,1538354059,77874428,30.407795429229736,27.62271399766918,1,0.8806941431670282,"""robot"""
462,1538354070,970868883,1538354082,78211797,11.811249256134033,27.588490048012176,1,0.8809523809523809,"""human"""
463,1538354097,935241515,1538354114,78241585,16.847174406051636,27.56529066217641,1,0.8812095032397408,"""human"""
464,1538354131,311125107,1538354138,78284700,7.471721887588501,27.521985557058763,1,0.8814655172413793,"""human"""
465,1538354154,392100388,1538354177,78243309,23.39033269882202,27.51310028209481,1,0.8817204301075269,"""human"""
466,1538354193,366442372,1538354215,78226512,22.415822744369507,27.50216191827995,1,0.8819742489270386,"""human"""
467,1538354231,842068973,1538354248,78315294,16.941084146499634,27.479547190717252,1,0.8822269807280514,"""human"""
468,1538354264,727690692,1538354272,78305312,8.055362462997437,27.43804252249563,1,0.8824786324786325,"""human"""
469,1538354287,757871556,1538354310,78384793,23.025976419448853,27.428635132084015,1,0.8827292110874201,"""human"""
470,1538354326,51237308,1538354341,78214677,15.269773721694946,27.40276521418957,1,0.8829787234042553,"""human"""
471,1538354357,572365713,1538354370,78483755,13.212471723556519,27.372637202532175,1,0.8832271762208068,"""human"""
472,1538354386,29031921,1538354393,78336379,7.49304461479187,27.330519421625947,1,0.8834745762711864,"""human"""
473,1538354414,277175411,1538354421,78392840,7.506752967834473,27.288608710307148,1,0.8837209302325582,"""human"""
474,1538354437,531468633,1538354465,78284624,28.25137758255005,27.290639868265465,1,0.8839662447257384,"""human"""
475,1538354481,875269727,1538354504,78211220,22.906842470169067,27.281410821111578,1,0.8842105263157894,"""human"""
476,1538354520,105895061,1538354527,78290537,7.6770102977752686,27.240225105726417,1,0.884453781512605,"""human"""
477,1538354543,121561593,1538354550,78259109,7.661029577255249,27.19917857422019,1,0.8846960167714885,"""human"""
478,1538354566,669353580,1538354574,78302807,8.113674640655518,27.15925074172319,1,0.8849372384937239,"""human"""
479,1538354590,367216558,1538354597,78278773,7.415571212768555,27.118032204084457,1,0.8851774530271399,"""human"""
480,1538354613,802308218,1538354644,78004161,30.977733373641968,27.1260732481877,1,0.8854166666666666,"""robot"""
481,1538354655,310387283,1538354677,78339939,22.47301197052002,27.116399524117707,1,0.8856548856548857,"""human"""
482,1538354692,494690980,1538354729,78284589,37.28815507888794,27.13750275140976,1,0.8858921161825726,"""human"""
483,1538354745,638642708,1538354753,78344466,8.14480185508728,27.098180389305572,1,0.8861283643892339,"""human"""
484,1538354768,791289439,1538354791,78256485,22.991275548934937,27.089695048726295,1,0.8863636363636364,"""human"""
485,1538354808,212596634,1538354815,78216644,7.569569826126099,27.049447367854953,1,0.8865979381443299,"""human"""
486,1538354836,268996716,1538354863,78202781,27.513031005859375,27.05040124365332,1,0.8868312757201646,"""human"""
487,1538354879,283980927,1538354886,78220813,7.49822735786438,27.010253042655805,1,0.8870636550308009,"""human"""
488,1538354902,653434068,1538354956,77974756,54.12631344795227,27.06581874020764,1,0.8872950819672131,"""robot"""
489,1538354968,92581056,1538354984,78402371,15.858213186264038,27.04289930144702,1,0.8875255623721882,"""human"""
490,1538354999,990719989,1538355039,78240464,39.79168462753296,27.06891723068393,1,0.8877551020408163,"""human"""
